bike_name,power_hp,torque_nm,weight_kg,norm_torque,ratio,energy_feel,movement_motion,full_profile
Hero Splendor Plus,7.9,8.05,112,71.88,0.981,Dead,Steady,ENERGY - Dead ( 71.88 )   |   MOVEMENT - Steady ( 0.981 )
Hero Splendor Plus Xtec,7.9,8.05,112,71.88,0.981,Dead,Steady,ENERGY - Dead ( 71.88 )   |   MOVEMENT - Steady ( 0.981 )
Hero HF Deluxe,7.9,8.05,110,73.18,0.981,Dead,Steady,ENERGY - Dead ( 73.18 )   |   MOVEMENT - Steady ( 0.981 )
Hero HF 100,7.9,8.05,110,73.18,0.981,Dead,Steady,ENERGY - Dead ( 73.18 )   |   MOVEMENT - Steady ( 0.981 )
Hero Passion Plus,7.9,8.05,115,70.00,0.981,Dead,Steady,ENERGY - Dead ( 70.00 )   |   MOVEMENT - Steady ( 0.981 )
Hero Passion Xtec,9.0,9.79,117,83.68,0.919,Calm,Steady,ENERGY - Calm ( 83.68 )   |   MOVEMENT - Steady ( 0.919 )
Hero Glamour 125,10.7,10.6,122,86.89,1.009,Calm,Steady,ENERGY - Calm ( 86.89 )   |   MOVEMENT - Steady ( 1.009 )
Hero Super Splendor,10.7,10.6,122,86.89,1.009,Calm,Steady,ENERGY - Calm ( 86.89 )   |   MOVEMENT - Steady ( 1.009 )
Hero Xtreme 125R,11.4,10.5,136,77.21,1.086,Calm,Steady,ENERGY - Calm ( 77.21 )   |   MOVEMENT - Steady ( 1.086 )
Hero Xtreme 160R 4V,16.6,14.4,144,100.00,1.153,Calm,Electric,ENERGY - Calm ( 100.00 )   |   MOVEMENT - Electric ( 1.153 )
Hero Xpulse 200 4V,18.9,17.35,158,109.81,1.089,Calm,Steady,ENERGY - Calm ( 109.81 )   |   MOVEMENT - Steady ( 1.089 )
Hero Karizma XMR 210,25.1,20.4,163,125.15,1.230,Calm,Electric,ENERGY - Calm ( 125.15 )   |   MOVEMENT - Electric ( 1.230 )
Hero Mavrick 440,27.0,36.0,187,192.51,0.750,Alive,Open-Hearted,ENERGY - Alive ( 192.51 )   |   MOVEMENT - Open-Hearted ( 0.750 )
Honda Shine 100,7.2,8.05,99,81.31,0.894,Calm,Steady,ENERGY - Calm ( 81.31 )   |   MOVEMENT - Steady ( 0.894 )
Honda Shine 125,10.7,11.0,113,97.35,0.973,Calm,Steady,ENERGY - Calm ( 97.35 )   |   MOVEMENT - Steady ( 0.973 )
Honda SP 125,10.7,10.9,116,93.97,0.982,Calm,Steady,ENERGY - Calm ( 93.97 )   |   MOVEMENT - Steady ( 0.982 )
Honda Unicorn 160,12.9,14.0,140,100.00,0.921,Calm,Steady,ENERGY - Calm ( 100.00 )   |   MOVEMENT - Steady ( 0.921 )
Honda SP 160,13.2,14.5,141,102.84,0.910,Calm,Steady,ENERGY - Calm ( 102.84 )   |   MOVEMENT - Steady ( 0.910 )
Honda Hornet 2.0,17.0,15.9,142,111.97,1.069,Calm,Steady,ENERGY - Calm ( 111.97 )   |   MOVEMENT - Steady ( 1.069 )
Honda CB200X,17.0,15.9,147,108.16,1.069,Calm,Steady,ENERGY - Calm ( 108.16 )   |   MOVEMENT - Steady ( 1.069 )
